			GMRT Grid Version 3.9
Longitude	Latitude	Distance (km)	Elevation (m)
-104.661354	9.66375	343.0389	-2819.033
-104.67006	9.66256	344.0025	-2858.6208
-104.678764	9.661372	344.9661	-2930.4634
-104.68748	9.660183	345.9297	-2965.2927
-104.69618	9.658994	346.89328	-2958.748
-104.70489	9.6578045	347.85687	-2970.219
-104.7136	9.656615	348.82047	-2966.1423
-104.722305	9.655425	349.78406	-2968.3428
-104.73101	9.654236	350.74765	-2985.3481
-104.739716	9.653046	351.71124	-2980.4692
-104.74843	9.6518545	352.67484	-2962.3145
-104.75713	9.650664	353.63843	-2961.8494
-104.76584	9.649473	354.60202	-3023.8054
-104.77454	9.648282	355.5656	-3009.2268
-104.78325	9.647091	356.5292	-3032.4043
-104.79196	9.6459	357.4928	-3007.636
-104.80067	9.644708	358.4564	-3011.4373
-104.80937	9.643516	359.41998	-3059.6287
-104.81808	9.6423235	360.38358	-3108.1067
-104.82678	9.641131	361.34717	-3081.8752
-104.83549	9.639938	362.31076	-3047.135
-104.8442	9.638745	363.27435	-3111.3325
-104.852905	9.637552	364.23795	-3115.6543
-104.86161	9.636359	365.20154	-3145.303
-104.870316	9.635166	366.16513	-3157.8684
-104.87902	9.633972	367.12872	-3036.3372
-104.887726	9.632778	368.09232	-3025.0476
-104.89643	9.631584	369.0559	-2983.7664
-104.905136	9.63039	370.0195	-2992.418
-104.91384	9.629195	370.9831	-3022.3933
-104.92255	9.628	371.9467	-3005.5452
-104.93126	9.626805	372.91028	-2972.5378
-104.939964	9.62561	373.87387	-3134.08
-104.94867	9.624414	374.83746	-3162.9148
-104.957375	9.623219	375.80106	-3030.983
-104.96608	9.622023	376.76465	-3100.5256
-104.974785	9.620827	377.72824	-3113.3713
-104.98349	9.619631	378.69183	-3116.7678
-104.992195	9.618434	379.65543	-3158.4067
-105.0009	9.617237	380.61902	-3245.5178
-105.009605	9.61604	381.5826	-3145.179
-105.01831	9.614843	382.5462	-3084.5369
-105.027016	9.613646	383.5098	-3108.2583
-105.03572	9.612448	384.4734	-3120.195
-105.044426	9.61125	385.43698	-3072.332
-105.05313	9.610052	386.40057	-3037.8748
-105.06184	9.608854	387.36417	-3032.565
-105.07053	9.607656	388.32776	-3062.1501
-105.07924	9.606457	389.29135	-3152.709
-105.087944	9.605258	390.25494	-3205.2078
-105.09665	9.604058	391.21854	-3156.2864
-105.105354	9.6028595	392.18213	-3141.6006
-105.11406	9.60166	393.14572	-3156.026
-105.122765	9.60046	394.1093	-3179.1353
-105.13147	9.599259	395.0729	-3251.315
-105.140175	9.59806	396.0365	-3324.4685
-105.14887	9.596859	397.0001	-3262.7192
-105.15758	9.595658	397.96368	-3125.8835
-105.16628	9.594458	398.92728	-3082.4968
-105.17499	9.593256	399.89087	-3113.6619
-105.18369	9.592055	400.85446	-3155.081
-105.1924	9.590854	401.81805	-3185.1646
-105.201096	9.589652	402.78165	-3201.932
-105.2098	9.5884495	403.74524	-3210.5854
-105.218506	9.587248	404.70883	-3224.757
-105.22721	9.586045	405.67242	-3246.6226
-105.235916	9.584843	406.63602	-3260.1433
-105.24461	9.58364	407.5996	-3205.5967
-105.25332	9.582437	408.5632	-3185.8855
-105.262024	9.581233	409.5268	-3251.0493
-105.27073	9.5800295	410.4904	-3229.7478
-105.27943	9.578826	411.45398	-3194.7632
-105.28813	9.577622	412.41757	-3244.7278
-105.29684	9.576418	413.38116	-3288.65
-105.30554	9.575213	414.34476	-3321.755
-105.31424	9.574009	415.30835	-3301.7993
-105.322945	9.572804	416.27194	-3265.7456
-105.33165	9.571599	417.23553	-3197.4377
-105.34035	9.5703945	418.19913	-3164.731
-105.34905	9.569188	419.16272	-3221.897
-105.35776	9.567983	420.1263	-3311.7234
-105.366455	9.566777	421.0899	-3334.765
-105.37516	9.565571	422.0535	-3253.9558
-105.383865	9.564364	423.0171	-3231.6619
-105.39256	9.563158	423.98068	-3308.686
-105.40127	9.561952	424.94427	-3291.6023
-105.40997	9.560744	425.90787	-3244.8904
-105.41867	9.559537	426.87146	-3263.512
-105.427376	9.55833	427.83505	-3296.6619
-105.43607	9.557122	428.79865	-3324.5813
-105.44478	9.555914	429.76224	-3311.8103
-105.453476	9.554707	430.72583	-3347.9788
-105.46218	9.553498	431.68942	-3329.997
-105.47089	9.55229	432.653	-3299.4688
-105.47958	9.551081	433.6166	-3318.8616
-105.48829	9.549872	434.5802	-3326.5767
-105.49699	9.548663	435.5438	-3327.4934
-105.50569	9.547454	436.5074	-3251.6973
-105.51439	9.546244	437.47098	-3267.8376
-105.523094	9.545034	438.43457	-3323.3872
-105.53179	9.543824	439.39816	-3323.4407
-105.5405	9.542614	440.36176	-3252.2395
-105.549194	9.541404	441.32535	-3352.94
-105.5579	9.540193	442.28894	-3402.554
-105.5666	9.538982	443.25253	-3376.196
-105.5753	9.537771	444.21613	-3363.0005
-105.584	9.53656	445.17972	-3369.6768
-105.592705	9.535348	446.1433	-3313.1418
-105.6014	9.534137	447.1069	-3373.532
-105.6101	9.532925	448.0705	-3394.8503
-105.618805	9.531713	449.0341	-3319.138
-105.6275	9.530499	449.99768	-3278.6855
-105.63621	9.529287	450.96127	-3285.6973
-105.644905	9.528074	451.92487	-3361.8838
-105.65361	9.526861	452.88846	-3416.7898
-105.66231	9.525648	453.85205	-3390.6526
-105.671005	9.524435	454.81564	-3279.325
-105.67971	9.523221	455.77924	-3273.1746
-105.68841	9.522007	456.74283	-3262.3025
-105.697105	9.520793	457.70642	-3250.5105
-105.70581	9.519579	458.67	-3216.96
-105.71451	9.518364	459.6336	-3192.0923
-105.723206	9.51715	460.5972	-3243.28
-105.73191	9.515935	461.5608	-3235.7449
-105.74061	9.514719	462.52438	-3211.8906
-105.749306	9.513504	463.48798	-3170.639
-105.75801	9.512288	464.45157	-3212.9543
-105.76671	9.511073	465.41516	-3331.9148
-105.775406	9.509856	466.37875	-3312.8704
-105.7841	9.50864	467.34235	-3265.2922
-105.79281	9.507424	468.30594	-3148.8848
-105.801506	9.506207	469.26953	-3168.4683
-105.8102	9.504991	470.23312	-3209.292
-105.8189	9.503774	471.19672	-3257.5825
-105.82761	9.502556	472.1603	-3305.7012
-105.8363	9.501338	473.1239	-3327.4734
-105.845	9.50012	474.0875	-3323.169
-105.8537	9.498902	475.0511	-3320.2976
-105.8624	9.4976845	476.01468	-3330.6157
-105.8711	9.496466	476.97827	-3330.6707
-105.8798	9.495248	477.94186	-3283.4456
-105.8885	9.494029	478.90546	-3266.984
-105.897194	9.492809	479.86905	-3251.8884
-105.90589	9.4915905	480.83264	-3237.1096
-105.91459	9.490371	481.79623	-3220.0054
-105.923294	9.489151	482.75983	-3197.281
-105.93199	9.487931	483.72342	-3176.1343
-105.94069	9.4867115	484.687	-3177.6824
-105.94939	9.485491	485.6506	-3197.2156
-105.958084	9.48427	486.6142	-3224.5786
-105.96678	9.483049	487.5778	-3270.4333
-105.97548	9.481829	488.54138	-3304.5386
-105.98418	9.480607	489.50497	-3319.591
-105.992874	9.479386	490.46857	-3322.558
-106.00157	9.478165	491.43216	-3322.7903
-106.01028	9.476942	492.39575	-3327.435
-106.018974	9.47572	493.35934	-3336.677
-106.02767	9.474498	494.32294	-3346.925
-106.03637	9.473275	495.28653	-3353.3672
-106.04507	9.472053	496.25012	-3350.8154
-106.053764	9.47083	497.2137	-3344.3262
-106.06246	9.469607	498.1773	-3337.087
-106.07116	9.468384	499.1409	-3332.5635
-106.07986	9.46716	500.1045	-3337.8076
-106.088554	9.465937	501.06808	-3348.495
-106.09725	9.464712	502.03168	-3357.2473
-106.10595	9.463488	502.99527	-3360.6135
-106.11465	9.462264	503.95886	-3355.9683
-106.123344	9.461039	504.92245	-3366.2869
-106.132034	9.459814	505.88605	-3384.4443
-106.14073	9.45859	506.84964	-3380.9438
-106.14943	9.457364	507.81323	-3381.2046
-106.15813	9.456139	508.77682	-3389.4062
-106.166824	9.454913	509.74042	-3387.2717
-106.17552	9.453687	510.704	-3390.9744
-106.18422	9.45246	511.6676	-3386.8772
-106.19292	9.451235	512.63116	-3374.1982
-106.201614	9.450007	513.5947	-3362.2458
-106.21031	9.448781	514.5583	-3354.8606
-106.219	9.447555	515.52185	-3353.6865
-106.2277	9.446327	516.4854	-3356.207
-106.2364	9.4451	517.449	-3361.2227
-106.245094	9.4438715	518.41254	-3368.6472
-106.25379	9.442644	519.3761	-3377.3894
-106.26249	9.441416	520.33966	-3387.4158
-106.27118	9.440187	521.3032	-3400.161
-106.27988	9.438959	522.2668	-3414.7786
-106.288574	9.437731	523.23035	-3427.7324
-106.29727	9.4365015	524.1939	-3437.1353
-106.30597	9.435272	525.1575	-3446.6184
-106.31466	9.434043	526.12103	-3455.873
-106.32336	9.432814	527.0846	-3458.03
-106.332054	9.431584	528.04816	-3450.633
-106.34075	9.430354	529.0117	-3445.0273
-106.34944	9.429124	529.9753	-3436.3875
-106.35814	9.427894	530.93884	-3417.4907
-106.36684	9.426662	531.9024	-3395.4316
-106.375534	9.425432	532.86597	-3374.5173
-106.384224	9.424201	533.8295	-3353.3884
-106.39292	9.42297	534.7931	-3330.656
-106.40162	9.421739	535.75665	-3309.3884
-106.41031	9.4205065	536.7202	-3289.4307
-106.41901	9.419274	537.6838	-3259.8079
-106.427704	9.418043	538.64734	-3242.36
-106.43639	9.41681	539.6109	-3219.1504
-106.44509	9.415578	540.57446	-3194.822
-106.45379	9.414345	541.538	-3174.1472
-106.46248	9.413113	542.5016	-3128.9229
-106.471176	9.411879	543.46515	-3200.546
-106.47987	9.4106455	544.4287	-3209.295
-106.48856	9.409412	545.3923	-3282.0625
-106.49726	9.408178	546.35583	-3314.6206
-106.50595	9.406944	547.3194	-3333.8716
-106.51465	9.40571	548.28296	-3400.0862
