			Gravity FAA (Sandwell et al, v24.1)	EMAG2 (2-arc-minute resolution, 2013)	Gravity (Sandwell and Smith 97)	GMRT Grid Version 3.9
Longitude	Latitude	Distance (km)	Free-Air Anomaly (mgal)	Magnetic Anomaly (nT)	Gravity Anomaly (mgal)	Elevation (m)
-105.57755	9.090128	150.6939	7.494149	-27.423536	5.2141504	-3322.7686
-105.56879	9.090814	151.65988	8.516866	-31.137934	6.0607305	-3341.9421
-105.56001	9.091499	152.62587	9.522695	-35.116234	6.7736654	-3331.0989
-105.55125	9.092185	153.59186	10.398158	-38.929184	7.3657417	-3335.0195
-105.54247	9.09287	154.55785	11.148706	-42.057137	7.837053	-3355.9106
-105.5337	9.0935545	155.52383	11.589901	-44.058083	8.165147	-3365.92
-105.52493	9.094239	156.48982	11.734696	-45.118008	8.34732	-3317.0186
-105.51616	9.094924	157.45581	11.443138	-45.5623	8.380906	-3202.33
-105.50739	9.095609	158.4218	10.747828	-45.677258	8.33359	-3100.1958
-105.49862	9.0962925	159.38779	9.755686	-45.52729	8.241065	-3042.5867
-105.48985	9.096977	160.35378	8.469228	-44.683456	8.139133	-3022.8376
-105.48108	9.097661	161.31976	7.2492833	-43.60971	8.046495	-3074.3408
-105.472305	9.098344	162.28575	6.0671268	-42.883076	7.8958106	-3160.3538
-105.46354	9.099028	163.25174	5.1961026	-42.936478	7.678769	-3255.855
-105.454765	9.09971	164.21773	4.585894	-43.442707	7.3340955	-3294.841
-105.446	9.100393	165.18372	4.016544	-44.339268	6.858847	-3293.4275
-105.437225	9.101076	166.1497	3.4834676	-45.620987	6.1171975	-3307.439
-105.42845	9.101759	167.11569	2.6961038	-47.40271	5.1154885	-3280.3157
-105.419685	9.102441	168.08168	1.7017491	-49.944473	3.846677	-3202.3887
-105.41091	9.103124	169.04767	0.6466466	-52.718777	2.357672	-3132.3025
-105.40214	9.103806	170.01366	-0.4479918	-55.11075	0.8854875	-3089.2834
-105.39337	9.104486	170.97964	-1.4295491	-56.721992	-0.55969626	-3086.984
-105.3846	9.105168	171.94563	-2.3098285	-58.035496	-1.859289	-3096.2886
-105.375824	9.105849	172.91162	-3.110624	-58.780636	-2.9765952	-3140.046
-105.36706	9.10653	173.87761	-3.8362775	-58.575855	-3.7969186	-3222.7473
-105.358284	9.107211	174.8436	-4.461856	-57.057224	-4.355869	-3143.4897
-105.34952	9.107892	175.80959	-4.980143	-54.22631	-4.6340737	-3117.1028
-105.340744	9.108572	176.77557	-5.2970357	-50.47044	-4.7039127	-3146.5242
-105.33197	9.109253	177.74156	-5.4083643	-46.217834	-4.5913744	-3187.9785
-105.323204	9.109933	178.70755	-5.1356378	-41.646744	-4.3480244	-3284.762
-105.31443	9.110613	179.67354	-4.49017	-36.12351	-3.9990458	-3318.6047
-105.30566	9.111292	180.63953	-3.7099369	-30.426138	-3.6020691	-3269.5051
-105.29689	9.111971	181.60551	-2.8060572	-25.500683	-3.17173	-3210.613
-105.28812	9.112651	182.5715	-2.0173836	-22.078457	-2.7051914	-3180.5378
-105.27934	9.11333	183.53749	-1.3434129	-19.704931	-2.19229	-3158.421
-105.27057	9.114008	184.50348	-1.0145725	-18.180304	-1.7058766	-3164.5105
-105.2618	9.114687	185.46947	-1.0205358	-17.39597	-1.2502884	-3180.2112
-105.25303	9.115365	186.43546	-1.3133276	-17.323538	-0.82207006	-3163.6716
-105.244255	9.116043	187.40144	-1.8839247	-18.176872	-0.42205685	-3155.5732
-105.23549	9.116721	188.36743	-2.5890226	-19.6748	-0.0980808	-3160.8992
-105.226715	9.117398	189.33342	-3.4195786	-21.467573	0.14772503	-3164.2646
-105.21794	9.118076	190.29941	-4.1268697	-23.263313	0.2636615	-3144.7874
-105.20917	9.118753	191.2654	-4.7229333	-25.186922	0.2634985	-3131.869
-105.2004	9.119431	192.23138	-5.1411457	-27.353456	0.1424636	-3201.0325
-105.19163	9.120108	193.19737	-5.386151	-29.876316	-0.11653735	-3258.0688
-105.18285	9.120784	194.16336	-5.4401317	-32.945305	-0.5563412	-3272.5269
-105.17408	9.12146	195.12935	-5.300555	-36.75404	-1.0994302	-3285.047
-105.16531	9.122137	196.09534	-5.0163713	-40.92938	-1.7012014	-3265.7297
-105.15654	9.122812	197.06133	-4.593275	-45.014473	-2.3526096	-3268.2097
-105.147766	9.123488	198.02731	-4.1426497	-48.69921	-3.0551775	-3256.439
-105.13899	9.124164	198.9933	-3.6579866	-52.441742	-3.6672323	-3226.6047
-105.130226	9.12484	199.95929	-3.1984656	-55.929947	-4.166414	-3254.6292
-105.12145	9.125514	200.92528	-2.7685049	-58.710228	-4.39038	-3293.3752
-105.11268	9.126189	201.89127	-2.2879875	-60.34999	-4.3071175	-3247.7708
-105.103905	9.126864	202.85725	-1.7517877	-60.86189	-3.8323526	-3221.6372
