			EMAG2 (2-arc-minute resolution, 2013)	Gravity FAA (Sandwell et al, v24.1)	Gravity (Sandwell and Smith 97)	GMRT Grid Version 3.9
Longitude	Latitude	Distance (km)	Magnetic Anomaly (nT)	Free-Air Anomaly (mgal)	Gravity Anomaly (mgal)	Elevation (m)
-48.17894	28.169836	566.185	-28.622526	-24.267641	-22.568377	-4975.1123
-48.144764	28.160887	569.68	-27.656063	-18.59988	-18.024118	-4882.405
-48.11059	28.151926	573.175	-19.379896	-10.498349	-10.418576	-4640.134
-48.076427	28.14296	576.67	-6.637159	-1.9736059	-2.7330577	-4432.805
-48.042267	28.133982	580.165	0.9652909	4.785095	1.3943697	-4152.677
-48.008114	28.124998	583.66	-3.8157144	10.603376	4.119278	-4124.7124
-47.973965	28.116005	587.15497	-17.261257	12.869812	8.110646	-4353.9634
-47.939823	28.107002	590.64996	-27.859367	13.305901	11.743416	-4189.3813
-47.90569	28.097994	594.14496	-27.217365	14.691099	13.721745	-4197.4585
-47.871555	28.088974	597.63995	-17.059278	15.028493	13.538483	-3955.8071
-47.837433	28.079948	601.13495	-6.870994	11.781126	9.985465	-4071.9897
-47.803314	28.070911	604.62994	-1.8134061	3.5677152	2.466729	-4450.181
-47.7692	28.061869	608.12494	3.4747138	-5.34922	-4.731498	-4738.1885
-47.735092	28.052816	611.61993	10.94901	-8.224103	-6.434324	-4869.026
-47.70099	28.043755	615.1149	11.12871	-3.8741198	-2.790318	-4583.6255
-47.666893	28.034687	618.6099	-0.011041085	3.1808546	2.7597709	-4282.6006
-47.632805	28.025608	622.1049	-7.2900767	9.235546	5.5415177	-4150.459
-47.598717	28.016523	625.5999	2.1952662	10.446681	4.869039	-3911.2737
-47.56464	28.00743	629.0949	18.89282	7.5082474	3.9245155	-4104.3267
-47.530567	27.998325	632.5899	25.634031	4.121941	1.7486753	-4191.8345
-47.4965	27.989214	636.0849	20.06742	-1.8529911	-4.248686	-4285.8955
-47.462437	27.980095	639.5799	10.994315	-10.280156	-12.192876	-4490.8955
-47.428383	27.970966	643.0749	4.030556	-17.346144	-17.891657	-4730.504
