			GMRT Grid Version 3.9
Longitude	Latitude	Distance (km)	Elevation (m)
-37.300606	31.227562	1088.0715	-3781.4924
-37.267315	31.218348	1091.3989	-3880.495
-37.234028	31.209126	1094.7263	-3962.5537
-37.20075	31.199896	1098.0537	-4024.5437
-37.167473	31.190657	1101.3811	-4045.561
-37.13421	31.181408	1104.7085	-4015.9385
-37.10095	31.172152	1108.0359	-3939.4397
-37.06769	31.162888	1111.3633	-3838.465
-37.034447	31.153614	1114.6907	-3735.6255
-37.001205	31.144331	1118.0181	-3649.0586
-36.96797	31.13504	1121.3455	-3611.5056
-36.934742	31.125742	1124.6729	-3661.3289
-36.90152	31.116434	1128.0002	-3798.668
-36.868305	31.107119	1131.3276	-3954.66
-36.8351	31.097794	1134.655	-4044.0415
-36.801895	31.08846	1137.9824	-4036.851
-36.768703	31.079119	1141.3098	-4013.086
-36.73551	31.069769	1144.6372	-3999.776
-36.70233	31.06041	1147.9646	-4015.3547
-36.669155	31.051043	1151.292	-4028.3303
-36.635986	31.041668	1154.6194	-4032.0806
-36.602825	31.032284	1157.9468	-4010.3672
-36.569668	31.02289	1161.2742	-4002.8042
-36.53652	31.01349	1164.6016	-4015.414
-36.503376	31.00408	1167.929	-4020.2742
-36.470238	30.994663	1171.2563	-4014.0754
-36.43711	30.985235	1174.5837	-4022.5327
-36.403988	30.975801	1177.9111	-4026.4045
-36.37087	30.966358	1181.2385	-3960.4634
-36.33776	30.956905	1184.5659	-3784.1765
-36.304657	30.947445	1187.8933	-3553.2476
-36.271557	30.937977	1191.2207	-3391.8955
-36.23847	30.9285	1194.5481	-3346.3252
-36.205383	30.919014	1197.8755	-3315.1362
-36.172306	30.909521	1201.2029	-3232.6426
-36.139236	30.900019	1204.5303	-3147.3914
-36.10617	30.890507	1207.8577	-3161.7424
-36.073112	30.88099	1211.185	-3278.8628
-36.040062	30.87146	1214.5125	-3398.0525
-36.00702	30.861925	1217.8398	-3456.5872
-35.97398	30.85238	1221.1672	-3465.8623
-35.94095	30.842827	1224.4946	-3501.0503
-35.907925	30.833267	1227.822	-3591.1584
-35.874905	30.823698	1231.1494	-3662.8413
-35.841896	30.81412	1234.4768	-3632.6045
-35.80889	30.804533	1237.8042	-3616.6907
-35.77589	30.794939	1241.1316	-3709.5051
-35.7429	30.785336	1244.459	-3798.8755
-35.709915	30.775724	1247.7864	-3834.0154
-35.676937	30.766104	1251.1138	-3779.8298
-35.643963	30.756477	1254.4412	-3720.0386
-35.610996	30.74684	1257.7686	-3911.4104
-35.578037	30.737196	1261.096	-4000.6147
-35.545086	30.727543	1264.4233	-3969.6108
-35.512142	30.717882	1267.7507	-4138.445
-35.479202	30.708212	1271.0781	-4125.5483
-35.44627	30.698534	1274.4055	-4130.473
